release_date,crop,line_item,value_reported
2014-01-10,corn,ending_stocks,1631.0
2014-01-10,corn,production,13925.0
2014-01-10,corn,yield,158.8
2014-01-10,soybeans,ending_stocks,150.0
2014-01-10,soybeans,production,3289.0
2014-01-10,soybeans,yield,43.3
2014-01-10,wheat,ending_stocks,608.0
2014-01-10,wheat,production,2130.0
2014-01-10,wheat,yield,47.2
2014-02-10,corn,ending_stocks,1481.0
2014-02-10,corn,production,13925.0
2014-02-10,corn,yield,158.8
2014-02-10,soybeans,ending_stocks,150.0
2014-02-10,soybeans,production,3289.0
2014-02-10,soybeans,yield,43.3
2014-02-10,wheat,ending_stocks,558.0
2014-02-10,wheat,production,2130.0
2014-02-10,wheat,yield,47.2
2014-03-10,corn,ending_stocks,1456.0
2014-03-10,corn,production,13925.0
2014-03-10,corn,yield,158.8
2014-03-10,soybeans,ending_stocks,145.0
2014-03-10,soybeans,production,3289.0
2014-03-10,soybeans,yield,43.3
2014-03-10,wheat,ending_stocks,558.0
2014-03-10,wheat,production,2130.0
2014-03-10,wheat,yield,47.2
2014-04-09,corn,ending_stocks,1331.0
2014-04-09,corn,production,13925.0
2014-04-09,corn,yield,158.8
2014-04-09,soybeans,ending_stocks,135.0
2014-04-09,soybeans,production,3289.0
2014-04-09,soybeans,yield,43.3
2014-04-09,wheat,ending_stocks,583.0
2014-04-09,wheat,production,2130.0
2014-04-09,wheat,yield,47.2
2014-05-09,corn,ending_stocks,1726.0
2014-05-09,corn,production,13935.0
2014-05-09,corn,yield,158.8
2014-05-09,soybeans,ending_stocks,330.0
2014-05-09,soybeans,production,3635.0
2014-05-09,soybeans,yield,43.3
2014-05-09,wheat,ending_stocks,540.0
2014-05-09,wheat,production,1963.0
2014-05-09,wheat,yield,47.2
2014-06-11,corn,ending_stocks,1726.0
2014-06-11,corn,production,13935.0
2014-06-11,corn,yield,158.8
2014-06-11,soybeans,ending_stocks,325.0
2014-06-11,soybeans,production,3635.0
2014-06-11,soybeans,yield,43.3
2014-06-11,wheat,ending_stocks,574.0
2014-06-11,wheat,production,1942.0
2014-06-11,wheat,yield,47.2
2014-07-11,corn,ending_stocks,1801.0
2014-07-11,corn,production,13860.0
2014-07-11,corn,yield,158.8
2014-07-11,soybeans,ending_stocks,415.0
2014-07-11,soybeans,production,3800.0
2014-07-11,soybeans,yield,43.3
2014-07-11,wheat,ending_stocks,660.0
2014-07-11,wheat,production,1992.0
2014-07-11,wheat,yield,43.1
2014-08-12,corn,ending_stocks,1808.0
2014-08-12,corn,production,14032.0
2014-08-12,corn,yield,167.4
2014-08-12,soybeans,ending_stocks,430.0
2014-08-12,soybeans,production,3816.0
2014-08-12,soybeans,yield,45.4
2014-08-12,wheat,ending_stocks,663.0
2014-08-12,wheat,production,2030.0
2014-08-12,wheat,yield,43.9
2014-09-11,corn,ending_stocks,2002.0
2014-09-11,corn,production,14395.0
2014-09-11,corn,yield,171.7
2014-09-11,soybeans,ending_stocks,475.0
2014-09-11,soybeans,production,3913.0
2014-09-11,soybeans,yield,46.6
2014-09-11,wheat,ending_stocks,698.0
2014-09-11,wheat,production,2030.0
2014-09-11,wheat,yield,43.9
2014-10-10,corn,ending_stocks,2081.0
2014-10-10,corn,production,14475.0
2014-10-10,corn,yield,174.2
2014-10-10,soybeans,ending_stocks,450.0
2014-10-10,soybeans,production,3927.0
2014-10-10,soybeans,yield,47.1
2014-10-10,wheat,ending_stocks,654.0
2014-10-10,wheat,production,2035.0
2014-10-10,wheat,yield,43.8
2014-11-10,corn,ending_stocks,2008.0
2014-11-10,corn,production,14407.0
2014-11-10,corn,yield,173.4
2014-11-10,soybeans,ending_stocks,450.0
2014-11-10,soybeans,production,3958.0
2014-11-10,soybeans,yield,47.5
2014-11-10,wheat,ending_stocks,644.0
2014-11-10,wheat,production,2026.0
2014-11-10,wheat,yield,43.7
2014-12-10,corn,ending_stocks,1998.0
2014-12-10,corn,production,14407.0
2014-12-10,corn,yield,173.4
2014-12-10,soybeans,ending_stocks,410.0
2014-12-10,soybeans,production,3958.0
2014-12-10,soybeans,yield,47.5
2014-12-10,wheat,ending_stocks,654.0
2014-12-10,wheat,production,2026.0
2014-12-10,wheat,yield,43.7
2015-01-12,corn,ending_stocks,1877.0
2015-01-12,corn,production,14216.0
2015-01-12,corn,yield,171.0
2015-01-12,soybeans,ending_stocks,410.0
2015-01-12,soybeans,production,3969.0
2015-01-12,soybeans,yield,47.8
2015-01-12,wheat,ending_stocks,687.0
2015-01-12,wheat,production,2026.0
2015-01-12,wheat,yield,43.7
2015-02-10,corn,ending_stocks,1827.0
2015-02-10,corn,production,14216.0
2015-02-10,corn,yield,171.0
2015-02-10,soybeans,ending_stocks,385.0
2015-02-10,soybeans,production,3969.0
2015-02-10,soybeans,yield,47.8
2015-02-10,wheat,ending_stocks,692.0
2015-02-10,wheat,production,2026.0
2015-02-10,wheat,yield,43.7
2015-03-10,corn,ending_stocks,1777.0
2015-03-10,corn,production,14216.0
2015-03-10,corn,yield,171.0
2015-03-10,soybeans,ending_stocks,385.0
2015-03-10,soybeans,production,3969.0
2015-03-10,soybeans,yield,47.8
2015-03-10,wheat,ending_stocks,691.0
2015-03-10,wheat,production,2026.0
2015-03-10,wheat,yield,43.7
2015-04-09,corn,ending_stocks,1827.0
2015-04-09,corn,production,14216.0
2015-04-09,corn,yield,171.0
2015-04-09,soybeans,ending_stocks,370.0
2015-04-09,soybeans,production,3969.0
